id,fb_soclife_base,fb_soclife_end,fb_soclife_diff
1364,-2,-2,0
1368,1,-1,-2
1372,-2,-3,-1
1373,-1,-2,-1
1374,2,2,0
1383,-2,1,3
1385,0,-2,-2
1386,0,1,1
1389,0,-1,-1
1390,0,1,1
1391,0,-2,-2
1392,-1,-2,-1
1394,0,0,0
1398,1,-2,-3
1401,0,0,0
1404,3,0,-3
1405,0,0,0
1407,0,0,0
1408,0,0,0
1409,1,1,0
1410,1,0,-1
1414,0,-1,-1
1415,1,1,0
1419,-1,-1,0
1421,3,4,1
1423,-2,-1,1
1424,-1,-3,-2
1432,-2,-2,0
1435,-1,-1,0
1440,1,-1,-2
1441,0,2,2
1442,3,3,0
1444,1,0,-1
1449,-1,0,1
1450,-2,0,2
1451,1,1,0
1452,0,4,4
1457,3,3,0
1460,-1,-1,0
1461,-2,-2,0
1465,2,-2,-4
1472,-2,0,2
1474,-3,-3,0
1475,-1,0,1
1478,-1,-1,0
1481,-1,-1,0
1484,1,0,-1
1485,0,0,0
1487,0,0,0
1490,-4,-4,0
1491,-1,1,2
1494,0,0,0
1495,0,0,0
1496,2,1,-1
1499,-1,-2,-1
1500,1,1,0
1502,4,3,-1
1505,1,2,1
1512,-3,-5,-2
1514,-1,-1,0
1515,-3,-4,-1
1518,-1,-2,-1
1519,2,1,-1
1520,0,0,0
1522,-2,-1,1
1523,-1,0,1
1526,0,1,1
1532,1,2,1
1534,-2,1,3
1535,-5,-2,3
1536,3,3,0
1539,3,3,0
1540,-3,-3,0
1541,3,1,-2
1544,1,-1,-2
1545,-1,1,2
1546,-2,2,4
1548,-2,-5,-3
1551,1,2,1
1554,1,1,0
1555,1,1,0
1557,0,0,0
1559,-3,1,4
1560,0,-2,-2
1561,-2,-3,-1
1565,0,0,0
1566,-3,-1,2
1567,-1,-1,0
1570,-1,-2,-1
1571,-1,1,2
1574,-2,-2,0
1575,0,0,0
1579,-1,2,3
1580,-1,2,3
1582,1,2,1
1584,1,1,0
1586,-2,-2,0
1587,0,0,0
1588,-3,1,4
1589,2,1,-1
1592,0,1,1
1596,-2,-2,0
1602,1,1,0
1606,0,0,0
1607,1,3,2
1609,1,2,1
1610,-1,-1,0
1614,2,2,0
1615,-1,2,3
1620,-5,0,5
1621,-2,-1,1
1622,1,2,1
1623,-4,-2,2
1625,-4,-1,3
1628,1,-1,-2
1630,-3,-4,-1
1631,5,-5,-10
1632,0,0,0
1633,3,1,-2
1634,1,3,2
1637,0,0,0
1643,1,1,0
1644,-1,-2,-1
1663,1,1,0
1665,-3,-5,-2
1669,-2,-2,0
1670,-1,-2,-1
1681,-2,1,3
1682,0,0,0
1683,-4,-3,1
1686,-1,0,1
1689,-3,2,5
1691,-1,-1,0
1692,1,2,1
1694,3,3,0
1696,0,0,0
1697,-2,4,6
1698,-3,-2,1
1700,-3,1,4
1701,-2,-1,1
1704,1,-3,-4
1706,1,-1,-2
1708,-2,-1,1
1711,5,3,-2
1712,-3,-5,-2
1713,2,2,0
1714,2,0,-2
1715,0,1,1
1716,4,3,-1
1721,-3,-3,0
1724,1,-2,-3
1726,-2,1,3
1730,-3,-3,0
1731,1,0,-1
1733,-1,-2,-1
1736,2,-1,-3
1737,2,1,-1
1738,-2,-2,0
1739,-2,-2,0
1740,2,2,0
1741,2,2,0
1742,3,3,0
1743,-1,1,2
1744,2,2,0
1748,2,3,1
1749,0,1,1
1750,0,0,0
1751,2,2,0
1753,-2,-1,1
1754,-2,-2,0
1757,5,-1,-6
1758,1,-2,-3
1759,0,0,0
1763,-3,-1,2
1765,3,-2,-5
1766,1,2,1
1771,-2,-4,-2
1773,0,1,1
1774,2,0,-2
1775,-1,-2,-1
1776,-3,-3,0
1777,0,1,1
1780,1,2,1
1782,2,0,-2
1785,-5,0,5
1786,3,2,-1
1787,3,4,1
1789,1,0,-1
1791,1,1,0
1793,-2,-3,-1
1794,-5,-3,2
1795,-2,0,2
1797,1,0,-1
1798,-2,2,4
1799,3,2,-1
1800,0,-1,-1
1801,1,1,0
1807,-1,0,1
1808,-3,-1,2
1811,-3,-3,0
1813,2,1,-1
1814,0,-2,-2
1816,-1,-3,-2
1817,-2,1,3
1819,0,0,0
1820,2,1,-1
1823,0,1,1
1825,-2,-2,0
1828,-2,-3,-1
1833,0,1,1
1834,-1,-1,0
1839,1,2,1
1840,-5,0,5
1841,1,1,0
1843,-2,-2,0
1845,-1,-2,-1
1846,2,3,1
1847,3,2,-1
1849,0,0,0
1852,1,-1,-2
1854,-2,-1,1
1855,1,-4,-5
1859,5,5,0
1860,0,-1,-1
1861,0,0,0
1862,2,2,0
1863,-2,-3,-1
1866,1,0,-1
1877,-1,-1,0
1880,1,2,1
1881,2,-2,-4
1886,0,-3,-3
1888,1,1,0
1890,0,-3,-3
1892,-5,-5,0
1894,2,3,1
1896,-2,-2,0
1897,-2,-1,1
1901,-4,-5,-1
1903,-2,-4,-2
1904,1,0,-1
1905,-2,-2,0
1906,-1,0,1
1909,-2,-1,1
1910,-1,2,3
1911,-2,-4,-2
1913,-2,-3,-1
1915,1,1,0
1919,-1,-1,0
1925,0,0,0
1926,-1,-1,0
1927,-1,3,4
1930,0,1,1
1932,1,2,1
1933,-3,-2,1
1934,1,3,2
1935,-1,-1,0
1936,-3,2,5
1937,-2,-1,1
1938,0,0,0
1939,1,0,-1
1941,-3,-3,0
1945,-2,-2,0
1946,-2,-2,0
1949,1,2,1
1951,1,2,1
1953,-1,-2,-1
1957,-3,0,3
1960,-3,1,4
1963,1,2,1
1964,-2,-2,0
1965,2,1,-1
1967,-1,1,2
1968,-2,-2,0
1971,-2,-1,1
1972,-2,2,4
1973,-4,-4,0
1974,2,3,1
1975,0,0,0
1977,-2,-1,1
1978,-2,-1,1
1980,0,0,0
1981,1,2,1
1982,-1,0,1
1987,-2,-2,0
1990,0,-1,-1
1991,-2,1,3
1993,-1,-1,0
1999,-2,-5,-3
2002,5,5,0
2004,-4,-4,0
2009,-1,1,2
2010,-2,-1,1
2011,0,0,0
2012,2,2,0
2013,0,-3,-3
2018,1,1,0
2019,-2,-3,-1
2024,0,0,0
2026,-5,-2,3
2029,-2,0,2
2030,-3,-4,-1
2033,-2,-1,1
2034,-1,-3,-2
2036,2,2,0
2037,3,-2,-5
2039,-2,-2,0
2041,-2,-1,1
2042,4,1,-3
2045,-1,3,4
2048,1,1,0
2049,2,1,-1
2053,-3,-3,0
2057,-2,-2,0
2058,0,0,0
2059,1,5,4
2063,0,0,0
2067,1,1,0
2068,-1,-1,0
2069,-1,-1,0
2071,0,0,0
2073,-1,-2,-1
2077,-1,-1,0
2080,0,0,0
2085,5,5,0
2086,-3,-2,1
2087,0,1,1
2088,-3,-3,0
2089,2,2,0
2090,1,1,0
2091,1,0,-1
2092,2,-2,-4
2093,0,0,0
2094,-2,-2,0
2098,0,0,0
2101,-1,2,3
2104,-3,-2,1
2105,1,-3,-4
2106,1,-2,-3
2108,-1,-1,0
2111,2,0,-2
2112,3,-3,-6
2120,0,-2,-2
2121,-2,-2,0
2123,-3,-3,0
2125,-1,-2,-1
2126,-2,-1,1
2129,-4,0,4
2132,0,0,0
2133,0,-1,-1
2136,-1,-1,0
2137,0,0,0
2138,3,5,2
2140,-1,2,3
2141,-1,-2,-1
2144,4,3,-1
2145,-2,-2,0
2149,-1,-1,0
2150,-2,-1,1
2153,0,-1,-1
2158,-1,-2,-1
2159,-2,-1,1
2161,1,1,0
2162,0,0,0
2163,2,2,0
2164,1,1,0
2165,0,-2,-2
2166,0,0,0
2167,0,2,2
2168,2,1,-1
2170,-2,1,3
2174,2,-2,-4
2175,0,0,0
2177,0,-2,-2
2179,-1,-1,0
2180,0,0,0
2181,-2,-2,0
2183,-1,-4,-3
2187,-4,-4,0
2188,1,0,-1
2189,0,0,0
2190,-2,-1,1
2191,-2,2,4
2194,2,-1,-3
2195,1,2,1
2197,-1,-1,0
2201,2,1,-1
2203,2,2,0
2204,-2,-1,1
2205,0,-1,-1
2208,-1,-3,-2
2209,2,2,0
2212,0,-2,-2
2215,-1,-1,0
2218,2,1,-1
2219,3,2,-1
2220,-2,-2,0
2222,0,-1,-1
2223,2,2,0
2224,2,2,0
2226,1,1,0
2227,2,2,0
2234,1,0,-1
2235,1,0,-1
2236,3,-3,-6
2237,1,-2,-3
2240,1,2,1
2242,-2,-1,1
2243,0,-1,-1
2249,-2,-4,-2
2250,-1,-3,-2
2257,-4,-2,2
2258,0,-1,-1
2263,-2,2,4
2266,-1,0,1
2271,2,0,-2
2274,0,-1,-1
2277,0,2,2
2281,-1,0,1
2284,-2,-5,-3
2286,0,0,0
2287,4,3,-1
2291,-1,2,3
2294,1,0,-1
2295,-2,-1,1
2303,0,1,1
2309,-1,2,3
2310,2,2,0
2311,-1,-1,0
2312,-2,-1,1
2313,5,-2,-7
2314,2,3,1
2315,-1,1,2
2316,0,1,1
2320,-3,-2,1
2322,-1,2,3
2323,-2,2,4
2327,-3,-3,0
2328,0,-1,-1
2333,0,-1,-1
2334,1,0,-1
2340,0,0,0
2342,-1,-3,-2
2343,-3,-3,0
2347,2,1,-1
2348,2,4,2
2349,0,1,1
2355,2,0,-2
2359,-5,0,5
2360,-3,-4,-1
2361,-1,0,1
2363,3,3,0
2364,-2,-4,-2
2365,0,1,1
2366,-1,1,2
2367,0,1,1
2368,0,1,1
