id,swb_happiness_base,swb_relhappiness_base,swb_ideal_base,swb_conditions_base,swb_satisfied_base,swb_lack_companion_base,swb_left_out_base,swb_isolated_base,swb_bored_base,swb_anxious_base,swb_depressed_base,swb_absorbed_worthwhile_base,swb_happiness_end,swb_relhappiness_end,swb_ideal_end,swb_conditions_end,swb_satisfied_end,swb_lack_companion_end,swb_left_out_end,swb_isolated_end,swb_bored_end,swb_anxious_end,swb_depressed_end,swb_absorbed_worthwhile_end,swb_wellbeing_index_base,swb_social_index_base,swb_feeling_index_base,swb_wellbeing_index_end,swb_social_index_end,swb_feeling_index_end,swb_happiness_diff,swb_relhappiness_diff,swb_ideal_diff,swb_conditions_diff,swb_satisfied_diff,swb_wellbeing_index_diff,swb_lack_companion_diff,swb_left_out_diff,swb_isolated_diff,swb_social_index_diff,swb_bored_diff,swb_anxious_diff,swb_depressed_diff,swb_absorbed_worthwhile_diff,swb_feeling_index_diff
15909,0.6666666666666666,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,-1,-1,-1,-1,0.3333333333333333,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,-0.3333333333333333,-1,-0.3333333333333333,0.3333333333333333,3.333333333333333,-1,-2,3.9999999999999996,0,-1.9999999999999998,0.33333333333333337,0,0,0.3333333333333333,0,0.6666666666666665,-1,1,1,1,0.6666666666666667,0,-0.6666666666666666,0,2.220446049250313e-16
15912,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1,-1,-1,-1,0.3333333333333333,0.3333333333333333,-1,0.6666666666666666,0,-0.3333333333333333,0.3333333333333333,1,-1,-1,-1,-1,-0.3333333333333333,0.3333333333333333,1,2,-3,0.6666666666666665,1.6666666666666665,-3,-2,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0,0.33333333333333337,-0.3333333333333335,0,0,0,0,0,-0.6666666666666666,0,2,-2.6666666666666665
15914,-1,-1,-1,-1,-1,1,1,1,0.3333333333333333,0.3333333333333333,-1,0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-1,-0.6666666666666666,-0.6666666666666666,1,1,1,0.3333333333333333,1,1,-0.3333333333333333,-5,3,-0.6666666666666667,-3.333333333333333,3,2.6666666666666665,0.33333333333333337,0.6666666666666667,0,0.33333333333333337,0.33333333333333337,1.666666666666667,0,0,0,0,0,0.6666666666666667,2,-0.6666666666666666,3.333333333333333
15921,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1,0,0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.6666666666666665,-1,0,-1.9999999999999998,1,1.3333333333333333,0.3333333333333333,0,-0.3333333333333333,-0.3333333333333333,0,-0.33333333333333326,1,0,1,2,0,0,0.6666666666666666,-0.6666666666666666,1.3333333333333333
15926,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,-1,-1,-1,0.3333333333333333,-0.3333333333333333,-1,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,-1,0,-0.3333333333333333,-1,-0.3333333333333333,0.3333333333333333,1.3333333333333333,-2,0,2.333333333333333,-1,-1.9999999999999998,0,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.9999999999999998,0,0,1,1,0.6666666666666667,-1.3333333333333333,0,1.3333333333333333,-1.9999999999999998
15929,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-1,-0.3333333333333333,1,-1,0,1,0.3333333333333333,-1,1,0,0,-0.3333333333333333,-1,0.3333333333333333,0,-1,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1,-2.6666666666666665,0,-0.6666666666666667,-1,-1,0.6666666666666667,0.3333333333333333,0.6666666666666666,0,0,0.6666666666666666,1.6666666666666665,-1,0,0,-1,-0.6666666666666667,-0.6666666666666666,0.6666666666666667,-2,1.3333333333333335
15933,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1,-1,-1,-1,-1,0.3333333333333333,-0.3333333333333333,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,0,-0.3333333333333333,-1,-1,0.3333333333333333,3,-3,-1.3333333333333335,3.666666666666666,-2,-2.6666666666666665,0.33333333333333337,0,0,0.3333333333333333,0,0.6666666666666661,0,0,1,1,0.6666666666666667,0,-1.3333333333333333,0.6666666666666666,-1.333333333333333
15951,-0.3333333333333333,0,-1,-1,-0.3333333333333333,1,0,1,1,1,0.3333333333333333,-1,-0.3333333333333333,-1,1,0.6666666666666666,0,1,0,0,0.3333333333333333,1,1,-0.3333333333333333,-2.6666666666666665,2,3.3333333333333335,0.33333333333333337,1,2.6666666666666665,0,-1,2,1.6666666666666665,0.3333333333333333,3,0,0,-1,-1,-0.6666666666666667,0,0.6666666666666667,0.6666666666666667,-0.666666666666667
15952,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,-1,-1,-1,-1,-1,-0.3333333333333333,-1,0.6666666666666666,1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,-1,-1,-1,-0.3333333333333333,1,3.333333333333333,-3,-1.3333333333333335,1.9999999999999998,-1,-3.3333333333333335,0,0.6666666666666667,-1,-0.3333333333333333,-0.6666666666666667,-1.3333333333333333,1,1,0,2,0,0,0,2,-2
16006,-0.6666666666666666,-1,0,-0.6666666666666666,-0.6666666666666666,0,0,1,1,0.3333333333333333,-1,-0.3333333333333333,-0.6666666666666666,-1,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,1,1,1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,-2.9999999999999996,1,0.6666666666666665,-3.333333333333333,3,1.3333333333333333,0,0,-0.3333333333333333,0,0,-0.3333333333333335,1,1,0,2,-1.3333333333333333,0,1.3333333333333333,-0.6666666666666667,0.6666666666666667
16024,0.3333333333333333,0.6666666666666666,0,0,0,0,-1,-1,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,-1,-1,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1,-2,-0.6666666666666666,1,-2,0,0,-0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0.6666666666666666,0,-0.6666666666666666,-0.6666666666666666,0.6666666666666666
16028,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1,0,0,1,1,-0.3333333333333333,0.3333333333333333,1,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1,0,0,1,-0.3333333333333333,-0.3333333333333333,1,-0.3333333333333332,-1,1.3333333333333335,0.9999999999999999,-1,-0.6666666666666665,0.6666666666666667,0,1,-0.3333333333333333,0,1.333333333333333,0,0,0,0,0,-1.3333333333333333,0,0.6666666666666667,-2
16041,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,-1,-1,-1,-1,-1,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,-1,-1,-1,-0.3333333333333333,-1,-1,0.3333333333333333,3,-3,-2,3.333333333333333,-3,-2.6666666666666665,0,0,0.3333333333333333,0,0,0.33333333333333304,0,0,0,0,0.6666666666666667,0,-0.6666666666666667,0.6666666666666666,-0.6666666666666665
16051,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-1,-1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1,-0.6666666666666666,-0.6666666666666666,-1,1,1,1,0.3333333333333333,1,1,1,0,-3,1.3333333333333333,-3.9999999999999996,3,1.333333333333333,-0.6666666666666666,-1.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.3333333333333333,-3.9999999999999996,2,2,2,6,0,0.6666666666666667,0.6666666666666667,1.3333333333333333,-2.220446049250313e-16
16088,-0.3333333333333333,0,0,0,-0.6666666666666666,0,0,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1,0,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,1,1,1,-1,0.3333333333333333,-1,-0.3333333333333333,-1,0,0.6666666666666667,-2.333333333333333,3,-1.3333333333333335,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,0,-1.333333333333333,1,1,1,3,-1.3333333333333333,0.6666666666666666,-0.6666666666666667,0.6666666666666667,-2
16102,0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0,-1,-1,-0.3333333333333333,1,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666665,-1,5.551115123125783e-17,-1.3333333333333333,1,0.6666666666666667,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-1,-3,0,0,2,2,1.3333333333333333,0.6666666666666666,-0.6666666666666667,0.6666666666666666,0.6666666666666667
16104,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,-1,-0.3333333333333333,1,-0.3333333333333333,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,-1,-0.3333333333333333,-1,-1,0.3333333333333333,1.6666666666666665,0,5.551115123125783e-17,3.666666666666666,-3,-2.6666666666666665,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.9999999999999996,-1,-1,-1,-3,0.6666666666666667,-0.6666666666666667,-2,0.6666666666666666,-2.6666666666666665
16105,0.6666666666666666,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,-1,-1,-1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1,-1,-1,-1,-1,0.3333333333333333,0.3333333333333333,3,-3,1.3333333333333333,2.6666666666666665,-3,-2,0,-0.33333333333333337,0,-0.3333333333333333,0.3333333333333333,-0.3333333333333335,0,0,0,0,-0.6666666666666667,-1.3333333333333333,0,1.3333333333333333,-3.333333333333333
16109,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,0,0.3333333333333333,-1,-0.3333333333333333,-0.3333333333333333,1.6666666666666665,0,-1.3333333333333333,2.9999999999999996,-2,-0.6666666666666667,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.333333333333333,-1,-1,0,-2,0.6666666666666666,-0.6666666666666667,0,-0.6666666666666666,0.6666666666666665
16115,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,0,0,0,-1,-0.3333333333333333,0.3333333333333333,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,0,1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,1,3,0,0,2,2,-0.6666666666666667,0,0,-0.3333333333333333,-0.3333333333333333,-0.33333333333333337,-1,1,0,1,2,0.6666666666666667,0.6666666666666666,0,2,-0.6666666666666667
16119,0.6666666666666666,0.6666666666666666,1,1,1,-1,-1,-1,-1,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,0,0.3333333333333333,0.6666666666666666,1,0,-1,-1,-1,-0.3333333333333333,-1,1,4.333333333333333,-3,-0.6666666666666667,2,-2,-3.333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666667,-0.33333333333333337,0,-2.333333333333333,1,0,0,1,0,0,-1.3333333333333333,1.3333333333333333,-2.666666666666666
16126,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0,-1,-1,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,-1,-1,-1,-0.3333333333333333,-1,0.3333333333333333,3.333333333333333,-2,0,2.6666666666666665,-2,-2.6666666666666665,0,0,-0.3333333333333333,-0.33333333333333337,0,-0.6666666666666665,0,0,0,0,-0.6666666666666667,0,-1.3333333333333333,0.6666666666666666,-2.6666666666666665
16132,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,-1,-1,-1,1,-0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,-1,-1,-1,-1,-0.3333333333333333,3.333333333333333,-3,-0.6666666666666667,3.9999999999999996,-3,-2.6666666666666665,0.33333333333333337,0.33333333333333337,0,0,0,0.6666666666666665,0,0,0,0,0,0,-2,0,-1.9999999999999998
