id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
11053,Between 31 minutes and 1 hour,45,45,90
21926,Between 2 and 3 hours,60,150,210
1063,More than 3 hours,120,180,300
471,0 minutes,120,0,120
121,More than 3 hours,500,180,680
21746,0 minutes,120,0,120
13258,Between 1 and 2 hours,25,90,115
1555,Between 2 and 3 hours,60,150,210
888,Between 1 and 2 hours,60,90,150
2400,Between 31 minutes and 1 hour,30,45,75
18560,Between 1 and 2 hours,100,90,190
19949,More than 3 hours,10,180,190
10681,More than 3 hours,60,180,240
1167,Between 1 and 2 hours,40,90,130
19407,Between 1 and 2 hours,20,90,110
2197,Between 1 and 30 minutes,90,15,105
757,Between 2 and 3 hours,90,150,240
1168,Between 31 minutes and 1 hour,250,45,295
2676,Between 31 minutes and 1 hour,480,45,525
1553,Between 2 and 3 hours,90,150,240
11484,Between 31 minutes and 1 hour,60,45,105
2510,More than 3 hours,80,180,260
3068,Between 1 and 2 hours,30,90,120
3072,More than 3 hours,90,180,270
2069,Between 1 and 2 hours,30,90,120
1623,More than 3 hours,175,180,355
1227,More than 3 hours,45,180,225
2723,More than 3 hours,60,180,240
10364,More than 3 hours,90,180,270
1219,Between 31 minutes and 1 hour,240,45,285
14331,Between 1 and 30 minutes,60,15,75
21067,Between 1 and 2 hours,45,90,135
2194,Between 31 minutes and 1 hour,200,45,245
324,Between 1 and 30 minutes,200,15,215
21568,Between 1 and 2 hours,120,90,210
2067,Between 2 and 3 hours,180,150,330
631,Between 31 minutes and 1 hour,250,45,295
272,Between 31 minutes and 1 hour,60,45,105
3104,Between 31 minutes and 1 hour,60,45,105
299,Between 1 and 2 hours,120,90,210
10009,More than 3 hours,90,180,270
1030,Between 1 and 2 hours,120,90,210
12275,Between 1 and 2 hours,120,90,210
1141,More than 3 hours,45,180,225
21928,Between 31 minutes and 1 hour,60,45,105
51,Between 2 and 3 hours,300,150,450
23460,Between 2 and 3 hours,600,150,750
22090,More than 3 hours,180,180,360
21242,More than 3 hours,360,180,540
998,Between 31 minutes and 1 hour,90,45,135
282,0 minutes,60,0,60
2328,Between 1 and 30 minutes,40,15,55
10983,More than 3 hours,90,180,270
2166,Between 1 and 30 minutes,60,15,75
2258,Between 1 and 2 hours,20,90,110
1163,More than 3 hours,300,180,480
11309,Between 2 and 3 hours,30,150,180
13563,Between 31 minutes and 1 hour,60,45,105
20024,Between 31 minutes and 1 hour,25,45,70
10254,More than 3 hours,360,180,540
14579,Between 31 minutes and 1 hour,60,45,105
23306,Between 2 and 3 hours,30,150,180
20522,0 minutes,90,0,90
12685,More than 3 hours,60,180,240
15292,Between 2 and 3 hours,40,150,190
17433,0 minutes,90,0,90
19495,Between 1 and 2 hours,15,90,105
13081,Between 1 and 30 minutes,300,15,315
20279,More than 3 hours,480,180,660
17011,Between 1 and 30 minutes,60,15,75
18164,Between 1 and 2 hours,180,90,270
2977,Between 2 and 3 hours,1000,150,1150
13191,More than 3 hours,35,180,215
19263,More than 3 hours,60,180,240
22585,Between 31 minutes and 1 hour,180,45,225
2305,More than 3 hours,180,180,360
11166,Between 1 and 2 hours,30,90,120
1649,More than 3 hours,130,180,310
22277,Between 1 and 2 hours,45,90,135
21567,Between 2 and 3 hours,60,150,210
2563,More than 3 hours,120,180,300
14557,More than 3 hours,120,180,300
1061,Between 1 and 2 hours,150,90,240
2084,Between 1 and 30 minutes,30,15,45
10101,Between 31 minutes and 1 hour,20,45,65
21132,Between 31 minutes and 1 hour,60,45,105
14874,Between 1 and 2 hours,30,90,120
16541,Between 2 and 3 hours,60,150,210
21064,Between 31 minutes and 1 hour,120,45,165
15507,Between 1 and 2 hours,120,90,210
883,More than 3 hours,75,180,255
1072,Between 2 and 3 hours,60,150,210
3064,Between 2 and 3 hours,120,150,270
22426,More than 3 hours,60,180,240
11393,More than 3 hours,360,180,540
1736,Between 1 and 2 hours,160,90,250
17228,More than 3 hours,45,180,225
3088,Between 31 minutes and 1 hour,70,45,115
12917,More than 3 hours,35,180,215
1060,Between 1 and 2 hours,60,90,150
9703,Between 31 minutes and 1 hour,45,45,90
2572,More than 3 hours,120,180,300
115,More than 3 hours,45,180,225
14740,More than 3 hours,45,180,225
22881,Between 1 and 30 minutes,60,15,75
2528,Between 2 and 3 hours,120,150,270
1079,More than 3 hours,480,180,660
3093,Between 1 and 30 minutes,120,15,135
736,More than 3 hours,180,180,360
20073,More than 3 hours,120,180,300
21046,Between 2 and 3 hours,90,150,240
2042,More than 3 hours,30,180,210
2088,Between 2 and 3 hours,10,150,160
1613,More than 3 hours,90,180,270
19670,Between 1 and 2 hours,60,90,150
11950,Between 2 and 3 hours,60,150,210
20439,More than 3 hours,120,180,300
2988,Between 2 and 3 hours,120,150,270
1071,Between 2 and 3 hours,60,150,210
695,More than 3 hours,60,180,240
607,Between 1 and 30 minutes,90,15,105
20448,Between 1 and 2 hours,200,90,290
451,More than 3 hours,480,180,660
21298,Between 2 and 3 hours,60,150,210
14747,Between 2 and 3 hours,128,150,278
18433,Between 31 minutes and 1 hour,120,45,165
3100,More than 3 hours,120,180,300
23872,More than 3 hours,60,180,240
482,Between 1 and 2 hours,90,90,180
3120,Between 1 and 30 minutes,90,15,105
17573,More than 3 hours,400,180,580
22067,More than 3 hours,250,180,430
1356,Between 1 and 2 hours,60,90,150
2105,More than 3 hours,200,180,380
18130,More than 3 hours,50,180,230
23121,Between 2 and 3 hours,180,150,330
19714,More than 3 hours,30,180,210
2869,Between 31 minutes and 1 hour,90,45,135
11781,Between 2 and 3 hours,60,150,210
1091,More than 3 hours,120,180,300
2074,Between 2 and 3 hours,80,150,230
1292,More than 3 hours,400,180,580
24220,Between 1 and 30 minutes,160,15,175
22362,Between 1 and 2 hours,300,90,390
621,More than 3 hours,90,180,270
12669,Between 1 and 2 hours,70,90,160
3026,Between 1 and 30 minutes,180,15,195
3006,More than 3 hours,300,180,480
920,0 minutes,300,0,300
10272,More than 3 hours,120,180,300
610,Between 2 and 3 hours,240,150,390
904,Between 1 and 2 hours,1.5,90,91.5
1716,Between 2 and 3 hours,120,150,270
14419,Between 1 and 2 hours,120,90,210
13656,More than 3 hours,60,180,240
17487,Between 1 and 30 minutes,30,15,45
2470,Between 1 and 2 hours,60,90,150
22324,Between 1 and 30 minutes,180,15,195
20542,More than 3 hours,120,180,300
71,Between 1 and 2 hours,60,90,150
18971,Between 31 minutes and 1 hour,150,45,195
19102,Between 1 and 2 hours,60,90,150
14678,Between 1 and 30 minutes,300,15,315
23153,More than 3 hours,150,180,330
19627,More than 3 hours,60,180,240
2600,Between 1 and 30 minutes,120,15,135
1351,More than 3 hours,20,180,200
14751,More than 3 hours,120,180,300
2009,Between 2 and 3 hours,180,150,330
21727,Between 1 and 2 hours,90,90,180
21604,Between 1 and 30 minutes,180,15,195
10124,Between 2 and 3 hours,480,150,630
407,Between 1 and 30 minutes,120,15,135
13566,Between 1 and 2 hours,60,90,150
13489,Between 31 minutes and 1 hour,200,45,245
374,Between 1 and 30 minutes,120,15,135
9779,More than 3 hours,30,180,210
383,Between 1 and 30 minutes,60,15,75
16542,More than 3 hours,35,180,215
18390,Between 2 and 3 hours,35,150,185
2554,More than 3 hours,30,180,210
958,More than 3 hours,120,180,300
14012,More than 3 hours,120,180,300
2842,Between 31 minutes and 1 hour,240,45,285
478,Between 1 and 2 hours,30,90,120
15163,0 minutes,120,0,120
13516,Between 1 and 2 hours,120,90,210
170,Between 1 and 2 hours,90,90,180
14297,More than 3 hours,30,180,210
9870,Between 1 and 2 hours,240,90,330
15833,Between 1 and 2 hours,20,90,110
12760,Between 2 and 3 hours,45,150,195
20888,More than 3 hours,45,180,225
297,More than 3 hours,40,180,220
586,Between 2 and 3 hours,85,150,235
2602,Between 2 and 3 hours,180,150,330
24031,Between 2 and 3 hours,30,150,180
15921,Between 31 minutes and 1 hour,180,45,225
16181,Between 1 and 30 minutes,120,15,135
13890,More than 3 hours,60,180,240
614,More than 3 hours,30,180,210
2348,Between 2 and 3 hours,90,150,240
20749,More than 3 hours,180,180,360
19965,Between 1 and 30 minutes,120,15,135
19301,Between 31 minutes and 1 hour,50,45,95
467,Between 1 and 2 hours,500,90,590
1985,More than 3 hours,100,180,280
9820,More than 3 hours,150,180,330
2311,Between 1 and 2 hours,35,90,125
16178,Between 1 and 2 hours,35,90,125
2122,More than 3 hours,100,180,280
13457,More than 3 hours,90,180,270
17283,More than 3 hours,75,180,255
1872,More than 3 hours,60,180,240
16446,Between 1 and 2 hours,180,90,270
2453,Between 31 minutes and 1 hour,120,45,165
485,Between 1 and 2 hours,60,90,150
2080,More than 3 hours,90,180,270
1888,More than 3 hours,60,180,240
12121,More than 3 hours,60,180,240
9862,0 minutes,30,0,30
20848,Between 31 minutes and 1 hour,45,45,90
2599,More than 3 hours,240,180,420
17083,Between 2 and 3 hours,120,150,270
14583,Between 1 and 2 hours,40,90,130
1742,More than 3 hours,50,180,230
1255,More than 3 hours,90,180,270
13663,More than 3 hours,10,180,190
1607,Between 1 and 2 hours,120,90,210
18786,More than 3 hours,45,180,225
16169,More than 3 hours,300,180,480
20274,More than 3 hours,60,180,240
10595,Between 31 minutes and 1 hour,120,45,165
2375,Between 1 and 2 hours,30,90,120
1606,More than 3 hours,60,180,240
11430,More than 3 hours,300,180,480
16478,More than 3 hours,90,180,270
11330,Between 2 and 3 hours,60,150,210
22000,More than 3 hours,1000,180,1180
21196,More than 3 hours,45,180,225
12548,Between 1 and 30 minutes,30,15,45
1103,Between 31 minutes and 1 hour,120,45,165
21850,More than 3 hours,60,180,240
997,Between 31 minutes and 1 hour,120,45,165
15645,Between 2 and 3 hours,600,150,750
11885,Between 2 and 3 hours,30,150,180
1971,More than 3 hours,90,180,270
11428,Between 1 and 2 hours,90,90,180
2002,More than 3 hours,40,180,220
17252,More than 3 hours,75,180,255
23937,More than 3 hours,240,180,420
1361,Between 31 minutes and 1 hour,320,45,365
652,Between 1 and 2 hours,360,90,450
15697,Between 1 and 2 hours,40,90,130
19927,More than 3 hours,180,180,360
23253,Between 1 and 2 hours,100,90,190
3070,Between 2 and 3 hours,20,150,170
22655,More than 3 hours,90,180,270
20420,More than 3 hours,60,180,240
23512,More than 3 hours,180,180,360
12846,More than 3 hours,45,180,225
21048,More than 3 hours,150,180,330
13525,Between 1 and 2 hours,30,90,120
693,Between 2 and 3 hours,80,150,230
12514,Between 1 and 2 hours,840,90,930
2159,Between 31 minutes and 1 hour,70,45,115
2404,Between 1 and 30 minutes,45,15,60
12374,Between 2 and 3 hours,25,150,175
20713,Between 2 and 3 hours,60,150,210
22331,Between 2 and 3 hours,45,150,195
20760,More than 3 hours,60,180,240
3115,More than 3 hours,500,180,680
16483,Between 1 and 2 hours,60,90,150
12907,More than 3 hours,180,180,360
855,Between 1 and 2 hours,30,90,120
21836,Between 1 and 2 hours,120,90,210
975,Between 1 and 2 hours,120,90,210
1276,Between 1 and 30 minutes,20,15,35
2840,Between 1 and 2 hours,120,90,210
2524,Between 1 and 2 hours,20,90,110
12072,Between 1 and 2 hours,120,90,210
1126,Between 31 minutes and 1 hour,120,45,165
18675,Between 1 and 2 hours,45,90,135
2552,Between 31 minutes and 1 hour,60,45,105
14517,Between 1 and 30 minutes,180,15,195
23718,Between 2 and 3 hours,120,150,270
20880,Between 31 minutes and 1 hour,90,45,135
16057,Between 2 and 3 hours,125,150,275
18225,Between 2 and 3 hours,60,150,210
684,Between 1 and 2 hours,360,90,450
12153,Between 31 minutes and 1 hour,300,45,345
2101,Between 1 and 30 minutes,120,15,135
2045,Between 2 and 3 hours,90,150,240
908,More than 3 hours,180,180,360
1880,Between 2 and 3 hours,120,150,270
19172,More than 3 hours,600,180,780
23032,0 minutes,180,0,180
525,More than 3 hours,180,180,360
459,Between 2 and 3 hours,60,150,210
685,More than 3 hours,60,180,240
2983,More than 3 hours,600,180,780
6,Between 2 and 3 hours,119,150,269
12979,Between 2 and 3 hours,240,150,390
9582,Between 31 minutes and 1 hour,150,45,195
18872,More than 3 hours,60,180,240
1487,More than 3 hours,150,180,330
3028,Between 1 and 2 hours,180,90,270
1571,Between 2 and 3 hours,90,150,240
2661,More than 3 hours,45,180,225
2748,Between 1 and 2 hours,480,90,570
11006,Between 1 and 2 hours,90,90,180
19388,More than 3 hours,240,180,420
19553,Between 31 minutes and 1 hour,240,45,285
12371,Between 31 minutes and 1 hour,90,45,135
13770,Between 1 and 2 hours,240,90,330
1455,Between 1 and 2 hours,120,90,210
2915,More than 3 hours,300,180,480
12862,Between 2 and 3 hours,180,150,330
390,Between 2 and 3 hours,60,150,210
16109,Between 1 and 2 hours,60,90,150
23111,Between 2 and 3 hours,120,150,270
13356,Between 1 and 30 minutes,160,15,175
24078,More than 3 hours,60,180,240
11368,More than 3 hours,60,180,240
16856,More than 3 hours,300,180,480
18119,Between 1 and 30 minutes,45,15,60
21506,Between 31 minutes and 1 hour,30,45,75
15726,More than 3 hours,60,180,240
2849,0 minutes,240,0,240
1445,Between 2 and 3 hours,240,150,390
2858,Between 1 and 2 hours,65,90,155
23709,Between 2 and 3 hours,90,150,240
587,Between 1 and 2 hours,120,90,210
15550,Between 2 and 3 hours,30,150,180
11067,Between 1 and 2 hours,380,90,470
712,Between 2 and 3 hours,56,150,206
3024,Between 31 minutes and 1 hour,120,45,165
13610,Between 2 and 3 hours,20,150,170
1584,Between 31 minutes and 1 hour,45,45,90
14259,Between 2 and 3 hours,30,150,180
16614,Between 2 and 3 hours,60,150,210
15309,More than 3 hours,70,180,250
192,Between 1 and 2 hours,60,90,150
21492,Between 1 and 30 minutes,60,15,75
1,Between 1 and 30 minutes,120,15,135
20106,More than 3 hours,45,180,225
480,Between 1 and 30 minutes,90,15,105
2396,Between 1 and 2 hours,30,90,120
153,More than 3 hours,60,180,240
2316,More than 3 hours,300,180,480
2394,More than 3 hours,30,180,210
20739,More than 3 hours,60,180,240
19067,Between 2 and 3 hours,650,150,800
15460,More than 3 hours,25,180,205
2580,Between 31 minutes and 1 hour,200,45,245
1290,Between 2 and 3 hours,90,150,240
249,More than 3 hours,60,180,240
9875,Between 2 and 3 hours,60,150,210
1207,Between 2 and 3 hours,60,150,210
22142,Between 2 and 3 hours,120,150,270
2766,Between 2 and 3 hours,240,150,390
681,Between 31 minutes and 1 hour,185,45,230
17243,Between 1 and 2 hours,180,90,270
2805,Between 2 and 3 hours,300,150,450
2942,More than 3 hours,45,180,225
2681,Between 1 and 30 minutes,50,15,65
868,Between 1 and 30 minutes,120,15,135
21214,Between 2 and 3 hours,90,150,240
2801,More than 3 hours,180,180,360
2209,Between 1 and 30 minutes,60,15,75
10902,Between 1 and 2 hours,20,90,110
10800,More than 3 hours,60,180,240
1809,Between 2 and 3 hours,90,150,240
17935,Between 1 and 30 minutes,30,15,45
2987,Between 1 and 2 hours,125,90,215
511,Between 2 and 3 hours,40,150,190
14005,Between 2 and 3 hours,60,150,210
21706,More than 3 hours,120,180,300
529,Between 1 and 2 hours,120,90,210
18769,Between 2 and 3 hours,120,150,270
1861,More than 3 hours,60,180,240
11114,Between 31 minutes and 1 hour,60,45,105
3096,More than 3 hours,60,180,240
300,Between 31 minutes and 1 hour,90,45,135
11648,Between 2 and 3 hours,60,150,210
2754,Between 1 and 30 minutes,120,15,135
10539,More than 3 hours,60,180,240
64,More than 3 hours,220,180,400
14869,More than 3 hours,180,180,360
24313,More than 3 hours,120,180,300
9638,More than 3 hours,90,180,270
21443,More than 3 hours,120,180,300
15860,Between 1 and 2 hours,55,90,145
14205,Between 31 minutes and 1 hour,120,45,165
18498,Between 1 and 2 hours,90,90,180
20866,Between 1 and 2 hours,45,90,135
11195,Between 1 and 30 minutes,60,15,75
552,Between 1 and 2 hours,30,90,120
13655,Between 1 and 30 minutes,20,15,35
252,Between 1 and 2 hours,90,90,180
858,More than 3 hours,200,180,380
3130,More than 3 hours,60,180,240
23597,More than 3 hours,120,180,300
2185,Between 1 and 2 hours,120,90,210
15439,Between 1 and 2 hours,20,90,110
661,Between 1 and 2 hours,150,90,240
20382,More than 3 hours,120,180,300
2066,Between 31 minutes and 1 hour,240,45,285
21053,Between 31 minutes and 1 hour,30,45,75
40,More than 3 hours,20,180,200
1895,Between 31 minutes and 1 hour,200,45,245
2233,0 minutes,1440,0,1440
1364,Between 2 and 3 hours,30,150,180
231,Between 1 and 2 hours,180,90,270
325,Between 1 and 2 hours,180,90,270
555,Between 1 and 2 hours,220,90,310
2071,More than 3 hours,15,180,195
700,More than 3 hours,1400,180,1580
11278,Between 31 minutes and 1 hour,45,45,90
19431,More than 3 hours,60,180,240
21153,More than 3 hours,1400,180,1580
1587,Between 1 and 30 minutes,25,15,40
16282,More than 3 hours,180,180,360
16772,Between 1 and 30 minutes,60,15,75
147,Between 1 and 2 hours,30,90,120
318,Between 2 and 3 hours,60,150,210
1908,More than 3 hours,900,180,1080
2310,Between 2 and 3 hours,25,150,175
13418,Between 2 and 3 hours,76,150,226
848,Between 1 and 30 minutes,45,15,60
17961,More than 3 hours,60,180,240
69,Between 1 and 2 hours,90,90,180
17752,Between 2 and 3 hours,230,150,380
2884,Between 1 and 2 hours,200,90,290
22726,Between 1 and 2 hours,120,90,210
330,More than 3 hours,120,180,300
1494,Between 1 and 2 hours,60,90,150
1316,Between 31 minutes and 1 hour,60,45,105
1958,Between 31 minutes and 1 hour,60,45,105
11986,Between 31 minutes and 1 hour,60,45,105
1478,More than 3 hours,60,180,240
14701,Between 2 and 3 hours,20,150,170
2589,Between 1 and 2 hours,160,90,250
12965,Between 2 and 3 hours,120,150,270
17930,Between 1 and 2 hours,90,90,180
13023,More than 3 hours,60,180,240
22476,Between 2 and 3 hours,200,150,350
2295,Between 1 and 30 minutes,30,15,45
11162,More than 3 hours,30,180,210
10171,More than 3 hours,120,180,300
23108,Between 2 and 3 hours,60,150,210
20994,Between 2 and 3 hours,120,150,270
7,Between 2 and 3 hours,20,150,170
15922,0 minutes,20,0,20
12418,Between 1 and 2 hours,40,90,130
13518,Between 2 and 3 hours,90,150,240
2900,Between 1 and 2 hours,100,90,190
1988,Between 1 and 2 hours,60,90,150
505,Between 1 and 2 hours,60,90,150
24278,More than 3 hours,120,180,300
1129,Between 1 and 30 minutes,180,15,195
792,More than 3 hours,120,180,300
16274,Between 2 and 3 hours,45,150,195
17391,Between 31 minutes and 1 hour,30,45,75
2956,More than 3 hours,90,180,270
16303,Between 1 and 2 hours,45,90,135
19386,Between 2 and 3 hours,120,150,270
24093,Between 31 minutes and 1 hour,120,45,165
546,More than 3 hours,700,180,880
724,Between 1 and 2 hours,300,90,390
980,Between 31 minutes and 1 hour,180,45,225
23995,Between 31 minutes and 1 hour,180,45,225
350,More than 3 hours,120,180,300
225,More than 3 hours,300,180,480
1825,More than 3 hours,300,180,480
2226,More than 3 hours,30,180,210
21614,0 minutes,120,0,120
18078,Between 1 and 2 hours,80,90,170
345,More than 3 hours,60,180,240
243,Between 1 and 2 hours,20,90,110
21503,Between 1 and 2 hours,120,90,210
19513,More than 3 hours,120,180,300
2848,Between 31 minutes and 1 hour,30,45,75
1670,Between 1 and 2 hours,60,90,150
100,More than 3 hours,100,180,280
2338,Between 2 and 3 hours,120,150,270
12225,Between 1 and 2 hours,20,90,110
20036,Between 1 and 2 hours,120,90,210
280,More than 3 hours,259,180,439
16805,Between 1 and 30 minutes,30,15,45
22707,Between 2 and 3 hours,50,150,200
10754,Between 2 and 3 hours,45,150,195
17281,More than 3 hours,30,180,210
17018,Between 1 and 2 hours,75,90,165
2860,Between 1 and 2 hours,30,90,120
23013,Between 31 minutes and 1 hour,30,45,75
19912,Between 1 and 30 minutes,30,15,45
257,More than 3 hours,200,180,380
12649,Between 2 and 3 hours,60,150,210
1119,Between 2 and 3 hours,30,150,180
23001,Between 1 and 2 hours,90,90,180
19220,0 minutes,90,0,90
1932,More than 3 hours,300,180,480
11347,Between 1 and 2 hours,60,90,150
12925,Between 1 and 2 hours,120,90,210
1737,More than 3 hours,480,180,660
1159,Between 2 and 3 hours,150,150,300
15952,More than 3 hours,360,180,540
2031,0 minutes,30,0,30
2668,Between 1 and 2 hours,45,90,135
582,Between 1 and 2 hours,120,90,210
1204,0 minutes,30,0,30
1505,More than 3 hours,180,180,360
424,0 minutes,180,0,180
155,More than 3 hours,180,180,360
12497,More than 3 hours,45,180,225
16141,Between 31 minutes and 1 hour,300,45,345
1946,Between 2 and 3 hours,120,150,270
2747,More than 3 hours,600,180,780
2474,Between 1 and 2 hours,45,90,135
1724,Between 2 and 3 hours,35,150,185
1109,More than 3 hours,60,180,240
14139,Between 1 and 2 hours,45,90,135
418,More than 3 hours,120,180,300
2333,Between 31 minutes and 1 hour,60,45,105
17367,More than 3 hours,45,180,225
851,More than 3 hours,120,180,300
2129,More than 3 hours,90,180,270
18308,Between 2 and 3 hours,0,150,150
13424,More than 3 hours,55,180,235
15178,More than 3 hours,110,180,290
19827,Between 31 minutes and 1 hour,60,45,105
14106,Between 1 and 2 hours,180,90,270
14218,Between 2 and 3 hours,180,150,330
14651,More than 3 hours,90,180,270
11356,Between 31 minutes and 1 hour,120,45,165
537,More than 3 hours,30,180,210
1813,Between 31 minutes and 1 hour,60,45,105
14883,More than 3 hours,400,180,580
1288,Between 31 minutes and 1 hour,120,45,165
22248,Between 1 and 30 minutes,200,15,215
18707,Between 2 and 3 hours,30,150,180
13699,Between 31 minutes and 1 hour,80,45,125
21409,More than 3 hours,30,180,210
15371,More than 3 hours,65,180,245
18879,More than 3 hours,60,180,240
13351,Between 1 and 30 minutes,60,15,75
1950,More than 3 hours,120,180,300
10055,Between 1 and 2 hours,120,90,210
12596,More than 3 hours,45,180,225
1308,More than 3 hours,60,180,240
2091,Between 31 minutes and 1 hour,120,45,165
9585,Between 1 and 2 hours,45,90,135
1787,Between 2 and 3 hours,60,150,210
22634,Between 1 and 2 hours,120,90,210
10709,Between 1 and 2 hours,200,90,290
12612,More than 3 hours,200,180,380
17728,More than 3 hours,240,180,420
2292,0 minutes,180,0,180
14830,Between 31 minutes and 1 hour,90,45,135
18343,Between 1 and 2 hours,200,90,290
1088,More than 3 hours,35,180,215
21890,Between 2 and 3 hours,120,150,270
1196,Between 1 and 2 hours,120,90,210
12297,Between 1 and 30 minutes,60,15,75
17637,Between 31 minutes and 1 hour,30,45,75
10045,Between 1 and 2 hours,150,90,240
9714,Between 2 and 3 hours,35,150,185
23856,Between 2 and 3 hours,180,150,330
1990,Between 2 and 3 hours,30,150,180
12170,Between 1 and 2 hours,45,90,135
19130,Between 2 and 3 hours,160,150,310
1782,More than 3 hours,240,180,420
1194,Between 2 and 3 hours,120,150,270
19579,Between 1 and 2 hours,60,90,150
21397,Between 31 minutes and 1 hour,120,45,165
20509,More than 3 hours,45,180,225
1284,More than 3 hours,30,180,210
2431,More than 3 hours,80,180,260
1945,Between 31 minutes and 1 hour,45,45,90
23204,Between 31 minutes and 1 hour,45,45,90
10541,Between 2 and 3 hours,30,150,180
23338,Between 1 and 30 minutes,60,15,75
15516,More than 3 hours,60,180,240
21151,Between 1 and 2 hours,180,90,270
3061,Between 1 and 2 hours,90,90,180
18852,More than 3 hours,120,180,300
1839,Between 2 and 3 hours,30,150,180
13494,Between 31 minutes and 1 hour,50,45,95
3014,More than 3 hours,120,180,300
21171,Between 31 minutes and 1 hour,30,45,75
1007,More than 3 hours,120,180,300
84,Between 2 and 3 hours,60,150,210
16259,More than 3 hours,45,180,225
21262,Between 1 and 2 hours,280,90,370
9883,Between 1 and 2 hours,120,90,210
18625,Between 1 and 30 minutes,30,15,45
14492,Between 1 and 2 hours,30,90,120
744,Between 1 and 30 minutes,180,15,195
14016,Between 1 and 2 hours,120,90,210
22133,More than 3 hours,45,180,225
11090,Between 31 minutes and 1 hour,30,45,75
1957,Between 1 and 2 hours,320,90,410
2948,Between 1 and 30 minutes,60,15,75
13661,More than 3 hours,120,180,300
23398,Between 1 and 2 hours,120,90,210
18725,Between 31 minutes and 1 hour,90,45,135
11189,More than 3 hours,300,180,480
1739,Between 1 and 2 hours,10,90,100
494,More than 3 hours,120,180,300
1938,More than 3 hours,45,180,225
20413,More than 3 hours,30,180,210
1344,More than 3 hours,45,180,225
20067,Between 1 and 2 hours,120,90,210
14317,Between 2 and 3 hours,60,150,210
23075,Between 1 and 2 hours,180,90,270
1633,Between 31 minutes and 1 hour,60,45,105
2487,Between 31 minutes and 1 hour,30,45,75
2520,More than 3 hours,30,180,210
22597,Between 2 and 3 hours,120,150,270
2708,Between 2 and 3 hours,75,150,225
3008,More than 3 hours,75,180,255
2615,Between 1 and 30 minutes,240,15,255
2347,More than 3 hours,45,180,225
2732,More than 3 hours,60,180,240
1921,Between 1 and 2 hours,200,90,290
17102,Between 2 and 3 hours,120,150,270
18303,Between 2 and 3 hours,90,150,240
12196,Between 2 and 3 hours,80,150,230
1027,More than 3 hours,60,180,240
12325,Between 1 and 2 hours,45,90,135
15183,Between 1 and 2 hours,60,90,150
2434,More than 3 hours,60,180,240
10812,Between 2 and 3 hours,240,150,390
12801,More than 3 hours,90,180,270
983,More than 3 hours,240,180,420
2919,Between 1 and 2 hours,45,90,135
2611,More than 3 hours,35,180,215
2120,Between 2 and 3 hours,30,150,180
1732,More than 3 hours,180,180,360
2946,More than 3 hours,60,180,240
14204,More than 3 hours,90,180,270
2279,More than 3 hours,60,180,240
20206,Between 1 and 2 hours,60,90,150
1618,More than 3 hours,150,180,330
21697,Between 2 and 3 hours,75,150,225
1685,Between 1 and 30 minutes,40,15,55
11520,Between 2 and 3 hours,90,150,240
15524,Between 1 and 2 hours,60,90,150
18084,Between 1 and 2 hours,180,90,270
10413,Between 31 minutes and 1 hour,45,45,90
1817,Between 1 and 2 hours,50,90,140
11350,Between 1 and 30 minutes,20,15,35
1035,0 minutes,35,0,35
12238,Between 2 and 3 hours,45,150,195
18012,Between 2 and 3 hours,180,150,330
19137,More than 3 hours,45,180,225
2420,More than 3 hours,10,180,190
405,Between 1 and 2 hours,60,90,150
2024,More than 3 hours,30,180,210
21913,Between 1 and 2 hours,120,90,210
2390,Between 31 minutes and 1 hour,30,45,75
14687,Between 1 and 30 minutes,456,15,471
14476,Between 31 minutes and 1 hour,30,45,75
14253,Between 31 minutes and 1 hour,60,45,105
267,More than 3 hours,80,180,260
18697,Between 2 and 3 hours,45,150,195
24206,0 minutes,70,0,70
313,More than 3 hours,180,180,360
1791,Between 2 and 3 hours,90,150,240
1355,Between 2 and 3 hours,30,150,180
1450,Between 31 minutes and 1 hour,45,45,90
23908,Between 1 and 30 minutes,60,15,75
22439,Between 1 and 2 hours,45,90,135
12133,More than 3 hours,350,180,530
1150,Between 1 and 30 minutes,70,15,85
16236,Between 1 and 2 hours,60,90,150
17397,Between 31 minutes and 1 hour,45,45,90
368,More than 3 hours,240,180,420
1596,Between 2 and 3 hours,90,150,240
10563,More than 3 hours,60,180,240
1559,Between 1 and 2 hours,90,90,180
47,More than 3 hours,135,180,315
10051,More than 3 hours,300,180,480
20540,Between 1 and 2 hours,45,90,135
2314,Between 2 and 3 hours,60,150,210
19437,Between 31 minutes and 1 hour,150,45,195
18681,More than 3 hours,100,180,280
104,Between 1 and 2 hours,480,90,570
17623,More than 3 hours,60,180,240
56,More than 3 hours,120,180,300
15275,More than 3 hours,90,180,270
11024,0 minutes,700,0,700
15470,0 minutes,120,0,120
12777,Between 1 and 2 hours,70,90,160
759,Between 1 and 2 hours,50,90,140
15608,Between 1 and 30 minutes,30,15,45
2057,More than 3 hours,90,180,270
11744,Between 2 and 3 hours,60,150,210
12780,Between 1 and 2 hours,75,90,165
23861,Between 2 and 3 hours,150,150,300
15821,Between 1 and 2 hours,120,90,210
19267,Between 2 and 3 hours,45,150,195
2881,More than 3 hours,25,180,205
15676,Between 1 and 2 hours,60,90,150
