id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
15801,Between 31 minutes and 1 hour,180,45,225
2652,Between 1 and 2 hours,60,90,150
577,Between 1 and 2 hours,500,90,590
2025,More than 3 hours,120,180,300
1319,Between 31 minutes and 1 hour,30,45,75
114,Between 31 minutes and 1 hour,40,45,85
579,More than 3 hours,60,180,240
2601,Between 2 and 3 hours,400,150,550
581,More than 3 hours,45,180,225
18085,More than 3 hours,9,180,189
2565,More than 3 hours,30,180,210
13090,Between 2 and 3 hours,120,150,270
21083,More than 3 hours,120,180,300
15461,Between 1 and 2 hours,30,90,120
16183,More than 3 hours,60,180,240
717,Between 2 and 3 hours,60,150,210
9785,Between 1 and 30 minutes,50,15,65
18616,Between 1 and 30 minutes,45,15,60
3128,Between 1 and 2 hours,20,90,110
1133,Between 1 and 30 minutes,30,15,45
2142,Between 1 and 2 hours,100,90,190
20251,Between 1 and 2 hours,20,90,110
23070,Between 31 minutes and 1 hour,70,45,115
16334,Between 1 and 30 minutes,60,15,75
10882,Between 2 and 3 hours,75,150,225
2228,More than 3 hours,90,180,270
19028,Between 1 and 30 minutes,25,15,40
14160,Between 1 and 30 minutes,5,15,20
14324,Between 1 and 2 hours,260,90,350
16966,Between 2 and 3 hours,45,150,195
1460,More than 3 hours,180,180,360
9826,More than 3 hours,240,180,420
150,Between 1 and 2 hours,45,90,135
1727,Between 1 and 2 hours,60,90,150
1967,Between 1 and 2 hours,120,90,210
1915,More than 3 hours,300,180,480
12246,Between 31 minutes and 1 hour,360,45,405
2223,Between 2 and 3 hours,180,150,330
11219,Between 1 and 2 hours,90,90,180
14906,Between 1 and 2 hours,120,90,210
11464,More than 3 hours,60,180,240
12239,Between 1 and 2 hours,30,90,120
18829,More than 3 hours,50,180,230
87,Between 1 and 2 hours,180,90,270
900,Between 31 minutes and 1 hour,30,45,75
2236,Between 1 and 2 hours,10,90,100
19894,Between 1 and 30 minutes,240,15,255
1833,Between 2 and 3 hours,20,150,170
516,More than 3 hours,60,180,240
12451,Between 2 and 3 hours,60,150,210
2963,Between 2 and 3 hours,150,150,300
11366,Between 1 and 2 hours,90,90,180
3095,Between 31 minutes and 1 hour,60,45,105
1493,More than 3 hours,65,180,245
16822,Between 1 and 2 hours,31,90,121
12993,More than 3 hours,45,180,225
13491,Between 2 and 3 hours,100,150,250
12906,More than 3 hours,120,180,300
15683,Between 31 minutes and 1 hour,45,45,90
2739,Between 1 and 2 hours,60,90,150
20449,More than 3 hours,90,180,270
15512,Between 1 and 30 minutes,30,15,45
21018,Between 1 and 2 hours,60,90,150
15661,More than 3 hours,150,180,330
1657,Between 2 and 3 hours,600,150,750
1592,Between 1 and 2 hours,60,90,150
2866,Between 1 and 30 minutes,30,15,45
2389,More than 3 hours,60,180,240
2507,More than 3 hours,45,180,225
21175,More than 3 hours,30,180,210
18279,More than 3 hours,100,180,280
9837,More than 3 hours,210,180,390
21536,Between 1 and 30 minutes,60,15,75
12962,More than 3 hours,180,180,360
2432,Between 1 and 30 minutes,45,15,60
22231,Between 31 minutes and 1 hour,120,45,165
616,More than 3 hours,60,180,240
13981,Between 1 and 30 minutes,10,15,25
21391,Between 1 and 30 minutes,200,15,215
1001,More than 3 hours,90,180,270
2609,Between 2 and 3 hours,60,150,210
738,Between 1 and 30 minutes,45,15,60
11777,Between 2 and 3 hours,100,150,250
23165,Between 2 and 3 hours,180,150,330
22139,More than 3 hours,100,180,280
2291,More than 3 hours,150,180,330
24049,More than 3 hours,10,180,190
493,Between 31 minutes and 1 hour,240,45,285
17373,Between 1 and 30 minutes,600,15,615
10017,Between 2 and 3 hours,50,150,200
